 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Was ist der so genannte „Kulturnagel“?;Eine nagelförmige Plakatsäule die mit Plakaten zu/von Kulturveranstaltungen vollgepflastert ist. Eine nagelförmige Variante der Litfaßsäule. (Sieht man häufig in der Schweiz);
Was ist der so genannte „Ladendruck“?;Laden = Lücken in der Zahnreihe von Pferden - darin liegt das Trensengebiss (für das Steuern der Pferde). Wenn es nicht richtig sitzt, übt es einen schmerzhaften Druck aus.;
Was ist der so genannte „Mexikanergriff“?;Ein Griff die vier Melkbecher einer Melkmaschine für Kühe nicht einzeln, sondern jeweils zwei Becher auf die Zitzen zu stecken. (Das machen mexikanische Lohnarbeiter in den riesigen Rinderherden Nordamerikas um schneller zu sein.);
Was ist der so genannte „Möpse-Auswurf“?;Zur Zuckergewinnung aus Zuckerrohr braucht man Kalkmilch. Kalkmilch wird hergestellt, indem man Kalksteine im Brennofen erhitzt, danach zerkleinert und mit Wasser vermischt. Neben der Kalkmilch entstehen auch Kalkbrocken (= Möpse), die  maschinell aussortiert werden – Möpse-Auswurf.;
Was ist der so genannte „Museumswinkel“?;Die meisten Bilder in Museum werden in einem bestimmten Winkel (von oben) beleuchtet, weil sie dann am besten zu sehen sind.;
Was ist der so genannte „Nasen-Faktor“?;Ein Begriff aus der Personalpsychologie: Wenn ein neuer Mitarbeiter eingestellt werden soll entscheidet oft nicht nur die fachliche Qualifikation. Fast genauso wichtig ist es ob der Bewerber rein menschlich in das Team passt. (umgangssprachlich: ob jemanden die Nase von jemanden passt). Das Verhältnis der Mitarbeiter untereinander bemisst sich für den Verhaltenspsychologen deshalb am so genannten „Nasen-Faktor“.;
Was ist der so genannte „Ofentrieb“?;Wenn Teig unter Zuführung von Hitze fest wird spricht man im Backbetrieb davon, dass der Teig „getrieben“ wird und da das meist in einem Ofen geschieht heißt dieser Vorgang „Ofentrieb“.;
Was ist der so genannte „Optikertrost“?;Ein Hilfsmittel für Optiker: Wenn die Brillengläser zu klein geschliffen werden, dass sie nicht mehr richtig im Brillengestell halten, müssen entweder die Gläser weggeschmissen und neue gemacht werden oder man legt einen dünnen Kunststofffaden zwischen Brillenfassung und Gläser, sodass die Gläser halten. Dieser Kunststofffaden ist der Optikertrost.;
Was ist der so genannte „Porno-Knopf“?;Viele Internetbrowser haben diesen „Porno-Knopf“. Durch diesen speziellen Tastendruck kann man verhindern, dass gespeichert wird, welche Webseiten (z.B. eben Pornoseiten) man aufgerufen hat.;
Was ist der so genannte „Quälschleier“?;Beim Entwickeln von Fotos kommt es darauf an, dass man das belichtete Fotopapier nicht zu lange in der chemischen Entwicklerlösung liegen lässt, sonst bekommt das Bild an bestimmten Stellen einen Grauschleier. Weil das Fotopapier von der Lösung gequält wird spricht man dabei von einem Quälschleier.;
Was ist der so genannte „Rouge-Test“?;Ein Test in der Entwicklungspsychologie: Das Bewusstsein der eigenen Person wird an Kleinkindern getestet, indem man ihnen einen Punkt auf die Nase macht (früher mit Rouge). In einem Spiegel erkennen sie sich erst ab dem zirka 18. Monat – sie erkennen den Punkt auf IHRER Nase und reagieren darauf indem sie dorthin fassen.;
Was ist der so genannte „Schinkengang“?;Fachausdruck aus der Kranken- und Altenpflege: Fortbewegung im Sitzen durch reine Gewichtsverlagerung des Oberkörpers und abwechselnder Belastung der beiden Pobacken (Schinken).;
Was ist der so genannte „Schlagschatz“?;Wenn zum Beispiel die Bundesbank eine 2-Euro Sondermünze herausbringt, tut sie das um bei den Herstellungskosten von einem Euro 100% Gewinn zu machen. Münzsammler nennen diesen Gewinn Schlagsatz, weil die Münzen im Mittelalter noch von Hand geschlagen wurden und die Fürsten durch diesen Gewinn einen großen Schatz anhäuften.;
Was ist der so genannte „Schmetterlingstest“?;Dieser Test zeigt ob ein spezieller Kleber geeignet ist um für die Erstellung einer Glasfassade an einem Gebäude verwendet zu werden. Dieser Kleber besteht aus einer weißen und aus einer schwarzen Komponente die gut verrührt werden müssen, damit sie eine dunkelgraue Masse ergeben. Um zu testen ob die Komponenten gut durchmischt sind wird ein Blatt Papier gefaltet und in den Falz etwas von dem Kleber gegeben. Dann werden die beiden Papierhälften mit dem Kleber in der Mitte aneinandergedrückt und wieder auseinandergezogen. So entsteht ein Fleck, der die Form eines Schmetterlings hat. Wenn in diesem Fleck noch weiße Streifen erkennbar sind, ist der Kleber nicht geeignet um verwendet zu werden und der Schmetterlingstest ist nicht bestanden. Ist der Fleck aber einheitlich dunkelgrau so ist der Schmetterlingstest bestanden und der Kleber in Ordnung.;
Was ist der so genannte „Schneidertag“?;Früher waren Schneider der Inbegriff für arme Leute, die den ganzen Tag arbeiten mussten aber kaum was verdient haben. Fischer sprachen damals vom „Schneidertag“, wenn sie den ganzen Tag ausfuhren, aber bis zum Abend nichts gefangen hatten. Heute ist der „Schneidertag“ ein Begriff bei Anglern, wenn sie die Angel den ganzen Tag ins Wasser heben, aber nichts anbeißt.;
Was ist der so genannte „Schuppungsgrad“?;Im Zeitschriftenhandel: Zeitschriften liegen so übereinander, dass der linke Teil der Titelseite jeder Zeitschrift zu sehen ist. (Denn dort sind Logo und Name der Zeitschrift) Sie liegen also wie die Schuppen eines Fisches übereinander. Der Schuppungsgrad beschreibt wie viel man von jeder Zeitschrift sieht. (Der ideale Schuppungsgrad beträgt 8cm pro Titel.);
Was ist der so genannte „Sofort-Typ“?;Allergien, die sofort zu einer Reaktion führen (z.B. Pollenallergie). Das Gegenteil ist der Spät-Typ. Führt erst eine Zeit lang nach dem Kontakt zur Reaktion (z.B. Nickelallergie).;
Was ist der so genannte „Sonntagsarm“?;"Immer wieder sonntags, wenn Papa, Mama und Kind im Park spazieren gehen, wird seit Generationen ""Engelchen flieg"" gespielt. Durch ruckartiges Ziehen am Kinderärmchen kommt es häufig zu einer schmerzhaften Verrenkung am Ellenbogen des Kindes. In den meisten Fällen kann das Ärmchen vom Arzt ohne Probleme wieder eingerenkt werden. Weil diese Verletzung häufig sonntags auftritt, eben dann wenn Papa, Mama und Kind ""Engelchen flieg"" spielen, spricht der Mediziner vom sogenannten „Sonntagsarm“.";
Was ist der so genannte „Stängelbrenner“?;Eine (durch einen bestimmten Pilz ausgelöste) Pflanzenkrankheit. Wenn dieser Pilz die Pflanze befällt wird der Stängel schwarz und die Pflanze bricht an dieser Stelle ab. Übrig bleibt ein schwarzer Stängelstumpf der aussieht wie ein abgebranntes Streichholz.;
Was ist der so genannte „Stiefelgang“?;„Stiefelgang“ ist der Gang im Hallenbad vom Eingangsbereich zu den Umkleidekabinen, der auch mit Schuhen betreten werden darf.;
Was ist der so genannte „Streckenstrich“?;Wenn man schreibt: „Ich möchte von Hamburg nach Berlin fahren“ und statt dem „nach“ einen Strich zwischen die beiden Orte macht, heißt dieser Strich, der die Strecke symbolisiert „Streckenstrich“;
Was ist der so genannte „Stromstrich“?;Der „Stromstrich“ ist die Linie im Fluss, wo die Strömungsgeschwindigkeit der Strömung des Flusses am größten ist. Meistens ist der „Stromstrich“ in der Mitte des Flusses, an Kurven ist er auch an der Seite.;
Was ist der so genannte „Tonnenstrich“?;In Küstennähe und bei Hafeneinfahrten tümpeln oft große Tonnen im Wasser. Das sind Verkehrszeichen, die Kapitänen z.B. zeigen wie tief das Wasser ist. Die Tonnen schwimmen im Abstand von ca. einer halben Seemeile (0,9km). Kommt ein Schiff vom Meer her signalisieren grüne Tonnen die rechte „Leitplanke“ für das Schiff und die roten die linke. Vom Hafen aus bedeuten die Tonnenfarben genau das Umgekehrte, damit sich die Schiffe nicht in die Quere kommen. Die Linie zwischen zwei gegenüberliegenden Tonnen (also einer roten und einer grünen) heißt Tonnenstrich.;
Was ist der so genannte „Waldi-Test“?;Hundeurin bringt Metall zum Rosten, Deshalb werden Laternenpfähle alle fünf Jahre mit einem Ultraschallgerät getestet, ob der Pfahl demnächst umknicken könnte, weil schon zu viele „Waldis“ dagegen gepinkelt haben.;
Was ist der so genannte „Welkepunkt“?;Wenn ein Boden so stark ausgetrocknet ist, dass Pflanzen nicht mehr in der Lage sind die Restfeuchtigkeit in der Erde aufzunehmen, sprechen Botaniker vom Welkepunkt. An diesem Punkt beginnen die Pflanzen zu welken.;
Was ist der so genannte „Würfelblick“?;Der Blick nach allen sechs Seiten, oben, unten, links, rechts, vorne und hinten, heißt Würfelblick, weil man zu allen sechs Seiten schaut, wie wenn man sich in einem Würfel befinden würde. Dies wird zum Beispiel bei der Feuerwehr praktiziert. Der Würfelblick ist eine Faustregel für einen Feuerwehrmann, der mit einer Wärmebildkamera Personen suchen muss. Er muss immer wieder nach oben, unten, links, rechts, vorne und hinten schauen, damit er auch keine Person übersieht. Das ist der Würfelblick.;
"Was ist der sogenannte ""Juniriss""?";Eine bestimmte Art des Sommerschnittes bei Obstbäumen.;
Was ist der sogenannte „Peitschen-Montag“?;In Tschechien wird der Ostermontag Peitschen-Montag genannt. Dort ist es an diesem Tag Tradition, dass Männer jungen Frauen leicht mit geflochtenen Weidenruten auf die Beine schlagen. Das soll Gesundheit und Jugend bringen.;
Was ist der sogenannte „Torkelbogen“?;Ein spezielles Formular (Papierbogen), mit dem Polizisten anhand von „Erkennungsmerkmalen“ jemanden als betrunken „erkennen“.;
Was ist der sogenannte Abendsprung?;Sprung der Fische am Abend, wenn die Kleintiere nahe über der Wasseroberfläche fliegen.;
Was ist der sogenannte Armorbogen?;Der geschwungene Teil in der Mitte der Oberlippe?;
Was ist der sogenannte Betriebsblick?;Blick von einem Zugführer, der prüft, ob bei einer Störung der Türen ein Gegenstand oder eine Person in einer der Türen klemmt.;
Was ist der sogenannte Hamburger-Button?;Eine umgangssprachliche Bezeichnung für das Menü-Logo von Webseiten.;
Was ist der sogenannte Lampenzuschlag?;Bei Neugeborenen ist die Haut leicht gelblich. Haben sie allerdings zuviel von dem Blutfarbstoff (Bilirubin), werden sie einer Lichttherapie unterzogen. Da es aber unter der Lampe sehr warm ist, benötigen die Säuglinge zusätzlich Flüssigkeit, die ihnen intravenös zugeführt wird. Dies wird in der Medizin als Lampenzuschlag bezeichnet.;
Was ist der sogenannte Spureinlauf?;Der Sanitärfachmann nennt beim Spureinlauf das Geräusch, das entsteht, wenn man ins Klo pinkelt (wird in db gemessen);
Was ist der Tannenzapfeneffekt?;Jedes Dach aus Holzschindeln macht sich diesen Effekt zunutze: Wenn es regnet, quellen die Holzschindel auf, legen sich eng aneinander und das Dach wird absolut wasserdicht. Wenn es dann wieder trocken wird, wölben sich die Holzschindel nach außen, so dass das Dach wieder komplett durchtrocknet. (Genauso funktionieren Tannenzapfen: sie verschließen sich durch Feuchtigkeit und öffnen sich wieder bei Trockenheit);
Was ist der Taschenlampentrick?;Der Taschenlampentrick ist ein Geheimwissen von Hebammen. Um eine optimale Geburtslage des Babys zu erreichen, geht man in einen abgedunkelten Raum. Dann nimmt die Hebamme eine Taschenlampe und leuchtet an den Bauch der schwangeren Frau. Im Idealfall verfolgt das Baby den Lichtschein und erreicht so die optimale Geburtslage. Das ist der Taschenlampentrick.;
Was ist der Torbogenreflex?;Als Torbogenreflex bezeichnet man bei männlichen Rindern das Verhalten auf Gegenstände aufzuspringen, die in etwa dem Umriss eines Torbogens haben. Das wird damit erklärt, dass der Umriss von Kühen von hinten betrachtet eine gewisse Ähnlichkeit mit einem Torbogen hat.;
Was ist der Viagra-Effekt?;Viagra ist schuld an einem großen Problem vor dem die Rentenkassen in Brasilien stehen. Dort heiraten immer mehr alte Männer nach der Scheidung noch mal eine wesentlich jüngere Frau. Sodass nach dem Tod des Mannes die Kassen für zwei (oder mehr) Witwen aufkommen müssen. Dabei eben auch für Frauen die noch Jahrzehnte lang leben. Da diese Entwicklung durch Viagra maßgeblich beschleunigt wird spricht man vom Viagra-Effekt.;
Was ist der Vorzugsdreh?;Die Richtung, in die man seinen Kopf beim Küssen dreht.;
Was ist der Wagenradeffekt?;Die optische Täuschung im Film, dass Reifen in der Fahrt die Laufrichtung ändern.;
Was ist der Wurstsemmel-Paragraph?;Ohne Einverständnis der Erziehungsberechtigten können Kinder (0 bis 7 Jahre) nichts kaufen. Der so genannte Wurstsemmelparagraph (§151 ABGB) gestattet den Kindern den Abschluss geringfügiger Geschäfte des täglichen Lebens - wie zum Beispiel den Erwerb von Wurstsemmeln.;
Was ist Dibbelabbes?;Ein saarländisches Kartoffelgericht.;
"Was ist die ""12-Uhr-Markierung""?";Es geht um einen Rennwagen. Am Lenkrad eines Rennwagens befindet sich oben eine 12-Uhr-Markierung, damit dem Fahrer das Fahren in engen Kurven erleichtert wird.;
"Was ist die ""Zehn nach zehn - Stellung""?";Die Grundstellung der Zeiger von Uhren in Schaufenstern.;
Was ist die „10-Fuß-Regel“?;Eine Regel die von Sam Walton (Gründer der Supermarktkette Wal Mart) aufgestellt wurde. Wenn ein Kunde einem Mitarbeiter näher als 10 Fuß (3 Meter) kommt, muss der Mitarbeiter zu dem Kunden Blickkontakt aufnehmen, grüßen und fragen, ob er helfen kann.;
Was ist die „20 nach 8-Stellung“?;Interpretation von Gesichtsausdrücken - hier: Mundwinkel sind nach unten gezogen.;
Was ist die „4711-Regel“?;Eine gesunde Niere ist im Normalfall 4 cm dick, 7 cm breit und 11cm lang. Gilt auch für die Milz.;
Was ist die „7-Falten-Methode“?;Eine Methode bei der der Körperfettgehalt mit einer Art Zange an 7 Hautfalten gemessen wird: Brust-, Bauch-, Bein-, Hüft-, Achsel-, Bizeps und Rückenfalte.;
Was ist die „Apothekenstellung“?;Ein Mechanismus für eine Türstellung (einen Spalt weit offen). Manche Nachtapotheken haben keine Klappe. Die Tür kann bei diesen Apotheken nur einen Spalt weit geöffnet werden. Der Apotheker kann das Medikament zwar hinausreichen, aber niemand kann hinein kommen.;
Was ist die „Bierglas-Stellung“?;Nach Brüchen von Hand oder Fingern wird der Unterarm und die Hand in einer Stellung vergipst, so wie man ein Bierglas hält.;
Was ist die „Blackout-Regel“?;Wenn in den USA ein Footballspiel 72 Stunden vor dem Anpfiff noch nicht ausverkauft ist, darf das Spiel im Umkreis von bis zu 75 Meilen um das Stadion nicht live im Fernsehen ausgestrahlt werden.;
Was ist die „Bonner Durchmusterung“?;Friedrich Wilhelm August Argelander (1799 - 1875), Professor an der Universität Bonn, schuf die erste systematische Erfassung des nördlichen Sternhimmels der Neuzeit und katalogisierte 325037 Sterne im Deklinationsbereich zwischen 89° und -2° bis zur Größe 9.5.;
Was ist die „Brötchentaste“?;Die „Brötchentaste“ ist auf manchen Parkscheinautomaten zu finden. Bei manchen Parkscheinautomaten kann man auf eine Taste drücken und dann kommt ein kostenloser Parkschein für (meist) eine halbe Stunde heraus. Das ist z. B. sinnvoll, wenn man morgens nur mal schnell zum Brötchenholen fährt. Dann kostet das Parken (innerhalb der halben Stunde) nichts. Diese Taste wird daher „Brötchentaste“ genannt.;
Was ist die „Brötchentaste“?;An vielen Parkscheinautomaten (besonders in Innenstädten) gibt es eine Taste, nach deren Betätigen man für kurze Zeit (ca. ½ h) kostenlos parken kann (Um sich z.B. auf dem Weg zur Arbeit schnell Brötchen zu holen), deshalb heißt diese Taste „Brötchentaste“…;
Was ist die „Drei-Haufen-Methode“?;Um Dünger für den Garten zu gewinnen, verwendet man diese Methode: Man sammelt auf einem Haufen den frischen Gartenabfall, der gleiche Haufen wird im darauf folgenden Winter umgegraben, im nächsten Winter wird der Haufen gesiebt.;
Was ist die „Frankfurter Horizontale“?;Die „Frankfurter Horizontale“ (1982 in Frankfurt definiert) ist eine Bezugsebene für Schädelvermessungen, definiert durch den untersten Punkt des Augenhöhlenrandes und den oberen Rand des äußeren Gehörganges. Solche Schädelvermessungen sind z. B. notwenig bei kieferorthopädischen oder zahnärztlichen Maßnahmen.;
Was ist die „Gierstellung“?;„Gier“ bedeutet im Seemännischen „außer Kurs laufen“. Im Fährbetrieb: Es gibt Fähren die nur durch die Strömung des Wassers (ohne Motor) von einer Seite zur anderen fahren können. Dazu wird die Fähre in die „Gierstellung gebracht“, in Schrägstellung zum Wasser.;
Was ist die „Goldene Stunde“?;Die Zeit kurz nach Sonnenauf- und -untergang liefert die besten Lichtverhältnisse („Goldenes Licht“) für Landschaftsfotografien.;
Was ist die „Hanauer Maus“?;Die „Hanauer Maus“ ist ein Reifenventil für Traktoren. Durch dieses Ventil werden die Reifen mit Wasser gefüllt, um durch zusätzliches Gewicht die Stabilität des Traktors – speziell in Schräglagen – zu erhöhen.;
Was ist die „Heiße Sieben“?;Ein begehrtes Mittel gegen Krämpfe und Koliken. Magnesium-Phosphorikum wird in heißem Wasser gelöst und getrunken. Magnesium steht in der alphabetischen Reihenfolge der Salze an der siebten Stelle.;
Was ist die „holländische Krankheit“?;Eine Volkswirtschaftskrankheit: Wenn nur noch ein Exportstoff besonders gefördert wird, können andere verkümmern und so die Wirtschaft schädigen. Das passierte erstmals in Holland Ende der 50er Jahre: Damals wurden dort viele Erdgasvorkommen entdeckt und der Export anderer Stoffe ging so stark zurück, dass das ganze Land litt.;
Was ist die „Hutkrempenregel“?;Medizin - Gedachte Linie zwischen den Ohren. Oberhalb sind Verletzungen durch gezielte Fremdeinwirkungen hervorgerufen worden. Unterhalb davon können Verletzungen auch durch Stürze verursacht sein.;
Was ist die „Igelstellung“?;Eine passive Schachstrategie.;
Was ist die „Inspirationsstellung“?;Bei Röntgenaufnahmen der Lunge: Einatmen und nicht Ausatmen;
Was ist die „Jagdhundstellung“?;Bei einer Hirnhautentzündung bringt sich der Körper automatisch in diese Schonhaltung, die die Kopfschmerzen lindert: Kopf ganz nach hinten in den Nacken gestreckt und die Beine angewinkelt – Jagdhunde ruhen sich in so einer ähnlichen Stellung aus.;
Was ist die „Jetzt-geht-es-los-Schwelle“?;Juristik: Der Augenblick in dem die Vorbereitung für eine Tat vorbei ist und in dem zu einer kriminellen Handlung angesetzt wird – ab da macht man sich strafbar.;
Was ist die „Kadaverstellung“?;Die Position eines Stimmbandes bei einem einseitig gelähmten Kehlkopf.;
Was ist die „Kahnstellung“?;Die sogenannte Kahnstellung kann man bei Gelbbauchunken beobachten, wenn sie sich angegriffen fühlen. Sie strecken Kopf und Extremitäten nach oben, wobei die gelbe Bauchseite zum Vorschein kommt, die eine abschreckende Wirkung auf den Gegner hat. Kahnstellung deshalb, weil die Krümmung des Körpers einem Kahn ähnelt.;
Was ist die „Känguru-Methode“?;Frühchen werden täglich 1 –2 Stunden aus ihren Brutkästen genommen, mit einem Lammfell bedeckt und der Mutter auf die Brust gelegt, damit das Baby Hautkontakt mit der Mutter hat. So wird das Baby warm gehalten, wie das Jungtier im Beutel des Kängurus. Deswegen wird diese Methode als „Känguru-Methode“ bezeichnet.;
Was ist die „Kegelübung“?;Wenn jemand ganz dringend aufs Klo muss, spannt er die Muskeln in der Körperregion an, um einhalten zu können. Dies ist auch eine Übung für Leute mit Blasenschwäche. Bis zu 50 mal werden die Muskeln bei dieser Übung angespannt und wieder gelockert. So wird die Beckenbodenmuskulatur trainiert. Erfunden hat diese Übung ein Herr Arnold Kegel.;
Was ist die „Kieler Puppe“?;Eine Körper-Umriss-Schablone des durchschnittlichen Menschen. Erstmals 1975 vom Anthropologischen Institut der Uni Kiel vorgestellt. Sie dient der Anpassung von Möbeln, Autos, usw.;
Was ist die „klassische Armlösung“?;Bei Kindern, die mit den Füßen zuerst auf die Welt kommen würden, greift die Hebamme zuerst den hinteren Arm und dreht das Kind so noch vor der Geburt.;
Was ist die „Laterne des Aristoteles“?;So wird der Kauapparat des Seeigels genannt. Dieser besteht aus 5 langen und leicht gebogenen Zähnen, die in den Kiefer eingelagert sind und durch Muskeln bewegt werden.;
Was ist die „Mama-Papa-Übung“?;Die erste Übung beim Schlagzeuglernen. Abwechselnd zweimal mit der linken Hand und zweimal mit der rechten Hand auf den Tisch klopfen.;
Was ist die „Monte-Carlo-Methode“?;Eine Methode in der Wahrscheinlichkeitsrechnung. Im Spielcasino von Monte-Carlo wurden erstmals Tabellen mit Rechenergebnissen ausgehängt.;
Was ist die „Münchner Stimmung“?;Im 19.Jahrhundert gab es zwei bedeutende Zitterbauer. Einer saß in Wien, der andere in München. Jeder von beiden wollte eine verbindliche Norm durchsetzen, wie eine Zitter richtig gestimmt zu sein hat. Keiner konnte sich durchsetzen. Deshalb gibt es zwei Stimmungen: Die Münchner ist AADGC, die Wiener Stimmung ist ADGGC.  ;
Was ist die „Mutter-Tochter-Richtlinie“?;Eine deutsche Muttergesellschaft hat z.B. zwei Tochterfirmen in unterschiedlichen EU-Ländern (z.B. eine in Frankreich eine in Italien). Gewinne der beiden Tochterfirmen werden an die Muttergesellschaft ausgeschüttet. Jetzt stellt sich die Frage: müssen diese Gewinne zweimal versteuert werden? (im Land in der die Tochterfirma ist und in dem wo die Muttergesellschaft ist). Antwort: versteuert müssen die Gewinne nur im Land der Muttergesellschaft versteuert werden. Diese EU-Richtlinie, heißt Mutter-Tochter-Richtlinie. (Alle EU-Mitgliedstaaten mussten ihre nationale Gesetzgebung so abändern, dass diese EU-Richtlinie angewandt werden kann.);
Was ist die „Narrenkrankheit“?;Eine Pilzkrankheit von Zwetschgen und Pflaumen – diese bekommen dadurch eine Form wie eine Narrenkappe;
Was ist die „Neutral-Null-Stellung“?;Mediziner nennen es die „Neutral-Null-Stellung“, wenn der Patient geradesteht und alle Gelenke im Winkel von null Grad (also am Körper anliegen) sind. Ältere Leute können das manchmal nicht mehr machen. „Neutral“ bedeutet auch „nicht hervorstehend“, da die Arme und alle anderen Gelenke bei der „Neutral-Null-Stellung“ nicht hervorstehen.;
Was ist die „Nicht-Jedermann-Zone“?;Im Handteller liegen die Sehnen so nah beieinander, dass nicht jeder Chirurg dort operieren darf, sondern nur speziell ausgebildete Handchirurgen.;
Was ist die „Nullzeit“?;Es ist Zeit, die Taucher maximal in bestimmter Tiefe bleiben dürfen (innerhalb dieser Zeit kann er mit 0 Zwischenstopps wieder zurück an die Oberfläche, ohne krank zu werden);
Was ist die „Sägebockstellung“?;Wenn Pferde unter Wundstarrkrampf leiden, strecken sie die Beine so von sich, dass die Beinstellung an einen Sägebock erinnert.;
Was ist die „Schrödersche Lüftung“?;Eine spezielle Behandlung bei einer entzündeten Zahnwurzel (Erfinder: Hermann Schröder, Zahnarzt).;
Was ist die „Schweinesonne“?;Jäger bezeichnen den Mond als Schweinesonne. Wildschweine sind nachtaktiv und werden deshalb nachts, bei Mondlicht, gejagt.;
Was ist die „sibirische Methode“?;Zu der sibirischen Methode greift der Vermieter, wenn der Mieter trotz mehrfacher Mahnungen im Zahlungsrückstand ist. Er dreht dabei in gewerblichen Räumen die Heizung zu.;
Was ist die „SPD-Stellung“?;Eine Körperstellung beim Basketball aus der man Schießen, Passen und Drippeln kann.;
Was ist die „Strichstellung“?;Die Zitzen der Kuh heißen „Strich“. Die Zitzen können nach außen und innen stehen, weit auseinander oder eng beisammen sein. Die Strichstellung aller Zitzen entscheiden über die Melkmaschinentauglichkeit einer Kuh.;
Was ist die „Traubenstellung“?;Die „Traubenstellung“ findet man in Restaurants. Die Anordnung von Teller, Wasserglas, Rotweinglas und Weißweinglas sieht normalerweise so aus: Der Teller steht an seinem Platz, das Wasserglas seitlich rechts oberhalb vom Teller, das Rotweinglas leicht versetzt oberhalb links vom Wasserglas und das Weißweinglas wieder leicht versetzt oberhalb rechts des Rotweinglases. Die Gläser sind also traubenartig angeordnet. Deswegen wird diese Stellung als „Traubenstellung“ bezeichnet.;
Was ist die „Tür-ins-Gesicht-Technik“?;Der Begriff stammt aus der Sozialpsychologie und ist ein Begriff aus der Überredungsstrategie. Der Fragende stellt dabei absichtlich eine größere unverschämtere Bitte vor seiner eigentlichen Bitte. Bei Ablehnung der ersten überzogenen Bitte, erhöht sich seine Chance auf die Gewährung der folgenden eigentlichen Bitte.;
Was ist die 1000-Punkte-Regel?;Bei Gefahrenguttransporten durch LKW gibt es eine Punkteskala (z.B. 1 Liter Benzin = 3 Gefahrenpunkte) 1000 Punkte sind die Obergrenze, die transportiert werden dürfen.;
Was ist die 20 nach 4 – Stellung?;Die Stellung des Bestecks auf dem Teller um zu zeigen, dass man fertig ist und der Kellner abräumen kann.;
Was ist die 20-20-20-Regel?;Eine Entspannungsübung für die Augen beim Arbeiten am PC.;
Was ist die 6-Uhr-Stellung?;Erste Markierung bei Weinflaschen, bevor sie das erste mal gedreht/gerüttelt werden (viertel Drehung im Uhrzeigersinn);
Was ist die 8-Monats-Angst?;Babys beginnen mit 8 Monaten zwischen bekannten und fremden Personen zu unterscheiden. Sie fürchten sich dann vor den Fremden.;
Was ist die Anhock-Spreizhaltung?;Die Haltung die ein Baby beim Hochheben annimmt.;
Was ist die Dreck-zu-Dreck Stellung?;Der Eisenbahner nennt so die Grundstellung einer manuell bedienbaren Weiche. Am Hebel der Weiche ist ein rundes weiß-schwarzes Schild. Das Schwarz steht für Dreck. Wenn das Schwarze nach unten zum dreckigen Boden zeigt, ist es die Dreck-zu-Dreck-Stellung;
Was ist die Ellenbogenmethode?;Die Faustregel, mit Hand und Fuß den perfekten Anlehnwinkel einer Leiter zu finden.;
Was ist die erste Aktion eines Kuckuck-Babys, nachdem es geschlüpft ist?;Es schmeißt alles (Jungvögel und Eier) aus dem Nest, damit es das Einzige ist.;
Was ist die Fett-auf-Mager Regel?;Begriff aus der Ölmalerei: Eine magere (verdünnte) Farbe wird als Grundierung verwendet, da sie schnell trocknet. Anschließend wird mit einer fettigen Farbe gemalt.;
Was ist die Flitterwochen-Krankheit?;Es ist die ärztliche Bezeichnung für die weibliche Blasenentzündung. Frauen leiden aus anatomischen Gründen sehr viel häufiger unter Blasenentzündungen als Männer. Empirisch gesichert ist der Zusammenhang von Blasenentzündungen und Geschlechtsverkehr. Früher trat das eben bei den meisten Frauen nach der Hochzeit auf, in den Flitterwochen, daher Flitterwochen-Krankheit, in Amerika heißt sie bis heute „Honeymoon-Zystitis.;
Was ist die Frikadellentechnik?;Wenn Mörtel nicht großflächig auf eine Wand gestrichen wird, sondern – um Zeit und Geld zu sparen – nur einzelne Kleckse aufgetragen werden, heißt das Frikadellentechnik.;
Was ist die Gummibärchenwaschanlage?;Eine Übung aus der Logopädie.;
Was ist die Handflächenregel?;Die Handfläche entspricht ca. 1% der gesamten Körperfläche. Die Regel gibt Auskunft über die Schwere von Verbrennungen.;
Was ist die Hotel-Stellung?;Bei manchen Autos gibt es einen Hotel-Schalter. Wenn man sein Auto von einem Hotel-Portier einparken lassen will und vor der Schlüsselübergabe sichergehen will, dass dieser den Kofferraum nicht öffnen kann. Dann kann man mit dem Autoschlüssel den Hotelschalter in die so genannte Hotel-Stellung bringen. Der Kofferraum kann dann nicht mehr geöffnet werden. (Der Schalter wiederum ist hinter einer Konsole an die der Portier nicht rankommt);
Was ist die Idiotenwiese?;In der Juristerei: Stichwortverzeichnisse am Ende von Gesetzessammlungen.;
Was ist die Ikea-Klausel?;In der Juristensprache: Wenn die Monageanleitung eines Produkts unbrauchbar ist, kann der Kunde eine Preisminderung einklagen.;
Was ist die Jeanskrankheit?;Zu enge Hosen führen zu Druck auf die Leiste. Dadurch kann der Oberschenkelnerv überreizt werden und das wiederum führt zu Taubheitsgefühlen an Vorder- und Außenseite des Oberschenkels.;
Was ist die kalte Pracht?;Das größte, schönste Zimmer in alten Häusern, das früher oft nicht geheizt war.;
Was ist die Katzenfußstellung?;Eine Schrittstellung beim Karate (Beine gebeugt- hinterer Fuß trägt fast das ganze Körpergewicht- vordere Fuß nur auf Fußballen gestellt) von der aus man sich „geschmeidig wie eine Katze“ in alle Richtungen bewegen kann.;
Was ist die Mekka-Lagerung?;Bei Bandscheibenoperationen werden die Patienten in die Position eines betenden Muslims gebracht.;
Was ist die ostfriesische Palme?;Ostfriesische Palme ist Grünkohl.;
